tick, C0 sequence, C0 pattern, C0 pattern name, C0 row, C0 note, C1 sequence, C1 pattern, C1 pattern name, C1 row, C1 note
0, 0, 4, left 1, 0,   1:    |, 0, 5, right 1, 0,   1: F#2 I2 16
1, 0, 4, left 1, 1,   2:    |, 0, 5, right 1, 1,   2:    |
2, 0, 4, left 1, 2,   3:    |, 0, 5, right 1, 2,   3:    |
3, 0, 4, left 1, 3,   4:    |, 0, 5, right 1, 3,   4:    |
4, 0, 4, left 1, 4,   5: A#3 I1 48, 0, 5, right 1, 4,   5:    |
5, 0, 4, left 1, 5,   6:    |, 0, 5, right 1, 5,   6:   ---
6, 0, 4, left 1, 6,   7: C-4 I1 46, 0, 5, right 1, 6,   7: G#2 I2 14
7, 0, 4, left 1, 7,   8:    |, 0, 5, right 1, 7,   8:    |
8, 0, 4, left 1, 8,   9: C#4 I1 45, 0, 5, right 1, 8,   9:    |
9, 0, 4, left 1, 9,  10:    |, 0, 5, right 1, 9,  10:    |
10, 0, 4, left 1, 10,  11: C#4 I1 45, 0, 5, right 1, 10,  11:    |
11, 0, 4, left 1, 11,  12:    |, 0, 5, right 1, 11,  12:   ---
12, 0, 4, left 1, 12,  13: D#4 I1 44, 0, 5, right 1, 12,  13:    |
13, 0, 4, left 1, 13,  14:    |, 0, 5, right 1, 13,  14:    |
14, 0, 4, left 1, 14,  15: C-4 I1 46, 0, 5, right 1, 14,  15:    |
15, 0, 4, left 1, 15,  16:    |, 0, 5, right 1, 15,  16:    |
16, 0, 4, left 1, 16,  17:    |, 0, 5, right 1, 16,  17: F-2 I2 17
17, 0, 4, left 1, 17,  18: A#3 I1 48, 0, 5, right 1, 17,  18:    |
18, 0, 4, left 1, 18,  19: G#3 I1 50, 0, 5, right 1, 18,  19:    |
19, 0, 4, left 1, 19,  20:    |, 0, 5, right 1, 19,  20:    |
20, 0, 4, left 1, 20,  21:    |, 0, 5, right 1, 20,  21:    |
21, 0, 4, left 1, 21,  22:    |, 0, 5, right 1, 21,  22:   ---
22, 0, 4, left 1, 22,  23:    |, 0, 5, right 1, 22,  23: F#2 I2 16
23, 0, 4, left 1, 23,  24:   ---, 0, 5, right 1, 23,  24:    |
24, 0, 4, left 1, 24,  25:    |, 0, 5, right 1, 24,  25:    |
25, 0, 4, left 1, 25,  26:    |, 0, 5, right 1, 25,  26:    |
26, 0, 4, left 1, 26,  27:    |, 0, 5, right 1, 26,  27:   ---
27, 0, 4, left 1, 27,  28:    |, 0, 5, right 1, 27,  28:    |
28, 0, 4, left 1, 28,  29:    |, 0, 5, right 1, 28,  29:    |
29, 0, 4, left 1, 29,  30:    |, 0, 5, right 1, 29,  30:    |
30, 0, 4, left 1, 30,  31:    |, 0, 5, right 1, 30,  31:    |
31, 0, 4, left 1, 31,  32:    |, 0, 5, right 1, 31,  32:    |
32, 0, 4, left 1, 32,  33:    |, 0, 5, right 1, 32,  33: F#2 I2 16
33, 0, 4, left 1, 33,  34:    |, 0, 5, right 1, 33,  34:    |
34, 0, 4, left 1, 34,  35: A#3 I1 48, 0, 5, right 1, 34,  35:    |
35, 0, 4, left 1, 35,  36:    |, 0, 5, right 1, 35,  36:    |
36, 0, 4, left 1, 36,  37: A#3 I1 48, 0, 5, right 1, 36,  37:    |
37, 0, 4, left 1, 37,  38:    |, 0, 5, right 1, 37,  38:   ---
38, 0, 4, left 1, 38,  39: C-4 I1 46, 0, 5, right 1, 38,  39: G#2 I2 14
39, 0, 4, left 1, 39,  40:    |, 0, 5, right 1, 39,  40:    |
40, 0, 4, left 1, 40,  41: C#4 I1 45, 0, 5, right 1, 40,  41:    |
41, 0, 4, left 1, 41,  42:    |, 0, 5, right 1, 41,  42:    |
42, 0, 4, left 1, 42,  43: G#3 I1 50, 0, 5, right 1, 42,  43:    |
43, 0, 4, left 1, 43,  44:    |, 0, 5, right 1, 43,  44:   ---
44, 0, 4, left 1, 44,  45:    |, 0, 5, right 1, 44,  45:    |
45, 0, 4, left 1, 45,  46:    |, 0, 5, right 1, 45,  46:    |
46, 0, 4, left 1, 46,  47: G#3 I1 50, 0, 5, right 1, 46,  47:    |
47, 0, 4, left 1, 47,  48:    |, 0, 5, right 1, 47,  48:    |
48, 0, 4, left 1, 48,  49: G#4 I1 28, 0, 5, right 1, 48,  49: F-2 I2 17
49, 0, 4, left 1, 49,  50:    |, 0, 5, right 1, 49,  50:    |
50, 0, 4, left 1, 50,  51:    |, 0, 5, right 1, 50,  51:    |
51, 0, 4, left 1, 51,  52:    |, 0, 5, right 1, 51,  52:    |
52, 0, 4, left 1, 52,  53: G#4 I1 28, 0, 5, right 1, 52,  53:    |
53, 0, 4, left 1, 53,  54:    |, 0, 5, right 1, 53,  54:   ---
54, 0, 4, left 1, 54,  55: D#4 I1 44, 0, 5, right 1, 54,  55: F#2 I2 16
55, 0, 4, left 1, 55,  56:    |, 0, 5, right 1, 55,  56:    |
56, 0, 4, left 1, 56,  57:    |, 0, 5, right 1, 56,  57:    |
57, 0, 4, left 1, 57,  58:    |, 0, 5, right 1, 57,  58:    |
58, 0, 4, left 1, 58,  59:   ---, 0, 5, right 1, 58,  59:   ---
59, 0, 4, left 1, 59,  60:    |, 0, 5, right 1, 59,  60:    |
60, 0, 4, left 1, 60,  61:    |, 0, 5, right 1, 60,  61:    |
61, 0, 4, left 1, 61,  62:    |, 0, 5, right 1, 61,  62:    |
62, 0, 4, left 1, 62,  63:    |, 0, 5, right 1, 62,  63:    |
63, 0, 4, left 1, 63,  64:    |, 0, 5, right 1, 63,  64:    |
64, 1, 6, left 3, 0,   1:    |, 1, 7, right 3, 0,   1: F#2 I2 16
65, 1, 6, left 3, 1,   2:    |, 1, 7, right 3, 1,   2:    |
66, 1, 6, left 3, 2,   3:    |, 1, 7, right 3, 2,   3:    |
67, 1, 6, left 3, 3,   4:    |, 1, 7, right 3, 3,   4:    |
68, 1, 6, left 3, 4,   5: A#3 I1 48, 1, 7, right 3, 4,   5:    |
69, 1, 6, left 3, 5,   6:    |, 1, 7, right 3, 5,   6:   ---
70, 1, 6, left 3, 6,   7: C-4 I1 46, 1, 7, right 3, 6,   7: G#2 I2 14
71, 1, 6, left 3, 7,   8:    |, 1, 7, right 3, 7,   8:    |
72, 1, 6, left 3, 8,   9: C#4 I1 45, 1, 7, right 3, 8,   9:    |
73, 1, 6, left 3, 9,  10:    |, 1, 7, right 3, 9,  10:    |
74, 1, 6, left 3, 10,  11: C#4 I1 45, 1, 7, right 3, 10,  11:    |
75, 1, 6, left 3, 11,  12:    |, 1, 7, right 3, 11,  12:   ---
76, 1, 6, left 3, 12,  13: D#4 I1 44, 1, 7, right 3, 12,  13:    |
77, 1, 6, left 3, 13,  14:    |, 1, 7, right 3, 13,  14:    |
78, 1, 6, left 3, 14,  15: C-4 I1 46, 1, 7, right 3, 14,  15:    |
79, 1, 6, left 3, 15,  16:    |, 1, 7, right 3, 15,  16:    |
80, 1, 6, left 3, 16,  17:    |, 1, 7, right 3, 16,  17: F-2 I2 17
81, 1, 6, left 3, 17,  18: A#3 I1 48, 1, 7, right 3, 17,  18:    |
82, 1, 6, left 3, 18,  19: G#3 I1 50, 1, 7, right 3, 18,  19:    |
83, 1, 6, left 3, 19,  20:    |, 1, 7, right 3, 19,  20:    |
84, 1, 6, left 3, 20,  21:    |, 1, 7, right 3, 20,  21:    |
85, 1, 6, left 3, 21,  22:    |, 1, 7, right 3, 21,  22:   ---
86, 1, 6, left 3, 22,  23:    |, 1, 7, right 3, 22,  23: F#2 I2 16
87, 1, 6, left 3, 23,  24:   ---, 1, 7, right 3, 23,  24:    |
88, 1, 6, left 3, 24,  25:    |, 1, 7, right 3, 24,  25:    |
89, 1, 6, left 3, 25,  26:    |, 1, 7, right 3, 25,  26:    |
90, 1, 6, left 3, 26,  27:    |, 1, 7, right 3, 26,  27:    |
91, 1, 6, left 3, 27,  28:    |, 1, 7, right 3, 27,  28:   ---
92, 1, 6, left 3, 28,  29:    |, 1, 7, right 3, 28,  29:    |
93, 1, 6, left 3, 29,  30:    |, 1, 7, right 3, 29,  30:    |
94, 1, 6, left 3, 30,  31:    |, 1, 7, right 3, 30,  31:    |
95, 1, 6, left 3, 31,  32:    |, 1, 7, right 3, 31,  32:    |
96, 1, 6, left 3, 32,  33:    |, 1, 7, right 3, 32,  33: F#2 I2 16
97, 1, 6, left 3, 33,  34:    |, 1, 7, right 3, 33,  34:    |
98, 1, 6, left 3, 34,  35: A#3 I1 48, 1, 7, right 3, 34,  35:    |
99, 1, 6, left 3, 35,  36:    |, 1, 7, right 3, 35,  36:    |
100, 1, 6, left 3, 36,  37: A#3 I1 48, 1, 7, right 3, 36,  37:    |
101, 1, 6, left 3, 37,  38:    |, 1, 7, right 3, 37,  38:   ---
102, 1, 6, left 3, 38,  39: C-4 I1 46, 1, 7, right 3, 38,  39: G#2 I2 14
103, 1, 6, left 3, 39,  40:    |, 1, 7, right 3, 39,  40:    |
104, 1, 6, left 3, 40,  41: C#4 I1 45, 1, 7, right 3, 40,  41:    |
105, 1, 6, left 3, 41,  42:    |, 1, 7, right 3, 41,  42:    |
106, 1, 6, left 3, 42,  43: A#3 I1 48, 1, 7, right 3, 42,  43:   ---
107, 1, 6, left 3, 43,  44:    |, 1, 7, right 3, 43,  44:    |
108, 1, 6, left 3, 44,  45: G#3 I1 50, 1, 7, right 3, 44,  45:    |
109, 1, 6, left 3, 45,  46:    |, 1, 7, right 3, 45,  46:    |
110, 1, 6, left 3, 46,  47:    |, 1, 7, right 3, 46,  47:    |
111, 1, 6, left 3, 47,  48:    |, 1, 7, right 3, 47,  48:    |
112, 1, 6, left 3, 48,  49: D#4 I1 44, 1, 7, right 3, 48,  49: F-2 I2 17
113, 1, 6, left 3, 49,  50:    |, 1, 7, right 3, 49,  50:    |
114, 1, 6, left 3, 50,  51: D#4 I1 44, 1, 7, right 3, 50,  51:    |
115, 1, 6, left 3, 51,  52:    |, 1, 7, right 3, 51,  52:    |
116, 1, 6, left 3, 52,  53: D#4 I1 44, 1, 7, right 3, 52,  53:    |
117, 1, 6, left 3, 53,  54:    |, 1, 7, right 3, 53,  54:    |
118, 1, 6, left 3, 54,  55: F-4 I1 42, 1, 7, right 3, 54,  55:    |
119, 1, 6, left 3, 55,  56:    |, 1, 7, right 3, 55,  56:    |
